index,Names,Gender,Count,Probability,quote,author,tags,likes
0,James,M,5304407,0.014516787,Be yourself; everyone else is already taken.,Oscar Wilde,attributed-no-source;be-yourself;honesty;inspirational;misattributed-oscar-wilde,149270
1,John,M,5260831,0.01439753,You've gotta dance like there's nobody watching,William W. Purkey,dance;heaven;hurt;inspirational;life;love;sing,118888
2,Robert,M,4970386,0.013602658,Be the change that you wish to see in the world.,Mahatma Gandhi,action;change;inspirational;philosophy;wish,106749
3,Michael,M,4579950,0.012534136,No one can make you feel inferior without your consent.,"Eleanor Roosevelt,",confidence;inspirational;wisdom,85854
4,William,M,4226608,0.01156713,Live as if you were to die tomorrow. Learn as if you were to live forever.,Mahatma Gandhi,carpe-diem;education;inspirational;learning,73033
5,Mary,F,4169663,0.011411287,Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.,"Martin Luther King Jr.,",darkness;drive-out;hate;inspirational;light;love;peace,72616
6,David,M,3787547,0.010365534,"Without music, life would be a mistake.","Friedrich Nietzsche,",inspirational;music;philosophy,67297
7,Joseph,M,2695970,0.007378171,We accept the love we think we deserve.,"Stephen Chbosky,",inspirational;love,66047
8,Richard,M,2638187,0.007220034,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",Marilyn Monroe,attributed-no-source;be-yourself;inspirational,48176
9,Charles,M,2433540,0.006659968,There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.,Albert Einstein,attributed-no-source;inspirational;life;live;miracle;miracles,47424
10,Thomas,M,2381034,0.006516273,"We are all in the gutter, but some of us are looking at the stars.","Oscar Wilde,",inspirational;optimism;perception;pessimism,42886
11,Christopher,M,2196198,0.006010425,"Fairy tales are more than true: not because they tell us that dragons exist, but because they tell us that dragons can be beaten.","Neil Gaiman,",books;dragons;fairy-tales;inspirational;paraphrasing-g-k-chesterton,42352
12,Daniel,M,2039641,0.005581969,"Yesterday is history, tomorrow is a mystery, today is a gift of God, which is why we call it the present.",Bill Keane,attributed-no-source;hope;inspirational;misattributed-eleanor-roosevelt;past;present;widely-misattributed,41144
13,Matthew,M,1738699,0.004758368,"I have not failed. I've just found 10,000 ways that won't work.",Thomas A. Edison,edison;failure;inspirational;paraphrased,40193
14,Elizabeth,F,1704140,0.004663789,"The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.",Elie Wiesel,activism;apathy;hate;indifference;inspirational;love;opposite;philosophy,39330
15,Patricia,F,1608260,0.004401391,I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,Albert Einstein,1929;imagination;inspirational;viereck-interview,36447
16,Jennifer,F,1584426,0.004336163,You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...,"Dr. Seuss,",inspirational,33253
